PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
17.35,,2.51,20.01,,,3.29,4.92,24.59,0.12,0.58,73.0,Satisfactory
20.21,57.8,2.65,13.78,9.52,6.54,0.51,10.6,26.51,0.16,3.11,79.0,Satisfactory
18.49,,9.73,8.74,18.39,44.56,1.06,4.49,43.39,0.15,0.0,76.0,Satisfactory
21.97,81.58,12.77,26.51,24.58,8.56,0.52,22.25,12.68,4.77,8.46,76.0,Satisfactory
39.03,83.67,9.71,25.39,30.95,45.06,0.64,11.51,27.18,0.37,1.79,85.0,Satisfactory
39.45,98.64,9.78,31.74,36.96,17.62,0.57,10.56,58.8,0.55,3.19,98.0,Satisfactory
18.45,,9.27,27.26,22.15,28.57,0.59,9.56,7.37,0.16,0.12,55.0,Satisfactory
21.59,52.32,2.9,10.62,8.02,11.85,0.41,11.52,19.77,0.0,0.0,54.0,Satisfactory
41.96,72.82,9.08,9.76,,6.34,0.0,,22.64,,,57.0,Satisfactory
15.67,26.01,21.98,38.11,38.29,1.8,0.78,21.7,21.41,3.18,8.46,62.0,Satisfactory
35.72,50.06,5.84,11.66,22.08,17.19,0.76,18.67,43.8,1.26,,74.0,Satisfactory
18.18,75.76,9.12,26.59,0.0,24.3,0.85,4.21,27.15,0.95,1.01,62.0,Satisfactory
28.33,,6.59,12.02,18.37,,0.69,7.02,12.29,0.58,3.01,96.0,Satisfactory
43.9,,4.87,8.32,4.3,,1.32,7.68,19.74,0.12,0.23,77.0,Satisfactory
23.33,66.23,22.69,17.92,32.55,19.65,0.79,7.56,11.59,0.32,2.43,68.0,Satisfactory
25.84,,23.71,57.14,29.18,,1.17,49.99,50.92,1.16,7.54,93.0,Satisfactory
42.99,57.83,8.91,9.02,,6.34,,4.47,18.56,,,70.0,Satisfactory
48.43,,4.56,7.46,6.23,,0.0,4.34,14.01,0.0,0.0,81.0,Satisfactory
26.34,52.07,3.49,8.43,7.41,9.3,0.57,18.83,23.6,0.0,1.38,53.0,Satisfactory
56.33,62.29,0.35,76.87,77.21,,0.28,6.82,45.14,0.02,0.0,84.0,Satisfactory
46.19,,59.67,118.9,66.99,,2.61,55.33,82.8,1.77,11.83,87.0,Satisfactory
10.89,28.9,7.06,10.62,11.36,1.49,0.71,6.13,30.74,2.58,6.78,58.0,Satisfactory
25.52,60.36,2.9,28.22,17.19,13.04,0.54,3.16,37.92,1.1,7.59,69.0,Satisfactory
21.9,37.94,4.18,7.0,14.37,7.21,0.28,28.51,38.57,0.21,,79.0,Satisfactory
31.11,34.26,7.03,6.01,13.04,3.59,1.71,9.57,39.08,0.01,0.12,96.0,Satisfactory
29.11,60.55,1.62,5.77,3.29,3.06,0.91,2.54,48.69,,,72.0,Satisfactory
28.07,28.12,6.98,15.56,21.99,28.98,0.8,6.45,44.99,0.89,1.07,77.0,Satisfactory
24.22,66.04,1.39,4.33,3.44,11.7,0.5,7.19,24.36,4.9,0.42,69.0,Satisfactory
26.55,,5.61,10.6,16.21,67.5,0.98,9.65,17.49,0.02,0.0,80.0,Satisfactory
15.31,69.04,10.59,16.32,26.92,,1.16,12.03,24.34,0.5,,68.0,Satisfactory
15.02,37.46,3.19,6.76,10.0,11.59,0.33,4.99,30.64,1.18,8.63,52.0,Satisfactory
24.49,,2.5,12.59,8.41,31.79,1.42,2.49,14.5,,1.12,52.0,Satisfactory
12.61,47.23,15.68,10.56,26.17,9.03,0.39,8.82,8.49,2.26,,51.0,Satisfactory
37.25,,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,76.0,Satisfactory
33.06,85.28,22.19,13.66,,27.75,0.0,6.49,4.88,,,73.0,Satisfactory
12.76,34.52,5.64,10.59,14.75,10.78,0.34,7.45,33.19,1.7,11.9,51.0,Satisfactory
16.55,57.59,20.48,25.78,44.17,14.82,0.65,14.62,13.02,4.59,,77.0,Satisfactory
12.21,46.97,15.52,7.43,22.69,4.61,0.22,6.76,18.17,0.52,,56.0,Satisfactory
25.44,91.8,33.4,26.19,59.59,,1.7,11.93,37.93,0.84,,100.0,Satisfactory
36.16,48.06,0.19,52.78,52.98,,0.22,8.22,39.7,0.01,0.0,72.0,Satisfactory
27.18,53.02,8.28,14.8,16.38,29.94,0.76,15.59,53.43,1.24,6.39,98.0,Satisfactory
21.91,50.41,2.97,5.3,5.24,2.31,1.13,6.51,35.73,,,69.0,Satisfactory
16.61,41.75,3.24,5.56,8.86,7.09,0.26,5.95,27.15,1.14,4.47,52.0,Satisfactory
60.21,,2.39,11.17,8.85,,0.09,7.76,32.11,0.11,3.74,93.0,Satisfactory
37.72,80.34,9.97,33.87,25.49,15.71,0.61,14.81,37.36,4.75,25.05,82.0,Satisfactory
59.63,,2.78,10.99,9.24,,0.08,6.62,28.98,0.99,1.41,97.0,Satisfactory
47.86,,9.46,20.18,16.09,58.85,0.81,7.33,16.08,0.0,2.48,79.0,Satisfactory
24.83,39.45,63.69,0.89,51.22,2.4,0.84,16.48,1.29,,0.0,65.0,Satisfactory
22.41,48.12,0.92,5.76,1.65,0.12,0.71,5.35,49.78,2.59,5.84,70.0,Satisfactory
41.86,53.51,6.42,5.13,11.54,7.91,1.23,10.78,26.17,0.0,0.0,82.0,Satisfactory
31.08,74.7,4.38,19.42,4.38,40.4,0.51,2.9,24.83,,,68.0,Satisfactory
12.9,30.94,2.98,4.3,4.48,3.14,0.97,6.48,7.44,,,54.0,Satisfactory
32.15,63.9,30.7,14.46,65.87,2.01,0.73,15.3,18.47,0.0,,78.0,Satisfactory
34.01,,6.85,14.56,13.61,135.67,1.22,2.36,9.82,0.86,0.19,82.0,Satisfactory
24.73,74.2,14.94,18.24,33.18,,1.25,15.89,40.12,0.49,,66.0,Satisfactory
44.91,60.17,8.14,22.62,30.54,50.0,0.8,18.22,31.09,0.51,0.04,85.0,Satisfactory
28.43,68.43,3.91,27.3,17.03,17.38,0.4,5.92,62.99,3.59,10.01,82.0,Satisfactory
28.7,56.45,26.66,21.13,40.14,28.25,0.46,5.54,26.62,12.5,10.17,64.0,Satisfactory
39.14,56.57,2.24,4.42,4.16,6.23,1.27,5.13,21.79,,,78.0,Satisfactory
9.21,39.6,2.87,8.03,6.5,1.79,1.16,4.98,29.02,,,73.0,Satisfactory
12.05,24.42,6.49,29.88,21.26,2.4,0.59,13.78,23.41,0.07,0.72,66.0,Satisfactory
33.22,65.76,9.47,24.83,34.22,8.97,0.67,4.4,26.62,25.1,21.82,77.0,Satisfactory
58.79,103.68,5.19,10.88,14.16,17.41,0.54,5.19,53.68,0.22,0.46,70.0,Satisfactory
16.58,45.48,4.93,20.04,21.76,12.89,0.69,5.06,38.81,1.31,1.94,67.0,Satisfactory
36.76,,4.38,9.22,7.83,,0.03,2.37,33.27,0.0,0.02,65.0,Satisfactory
102.66,136.51,12.66,56.58,69.23,13.23,1.06,16.7,39.33,4.91,11.13,82.0,Satisfactory
22.31,55.94,4.49,23.24,15.72,17.96,0.66,8.45,18.82,0.78,4.08,53.0,Satisfactory
33.52,62.91,7.18,9.71,16.88,4.56,0.0,12.59,6.57,0.49,,56.0,Satisfactory
49.17,73.19,5.07,13.16,10.13,4.52,1.72,6.52,40.54,,,95.0,Satisfactory
32.11,74.94,30.47,23.52,52.77,17.09,1.19,9.91,15.35,2.48,,96.0,Satisfactory
15.56,62.75,19.14,7.74,25.2,8.21,0.43,8.71,12.19,1.31,,72.0,Satisfactory
34.82,,7.09,23.64,17.91,14.39,0.9,4.89,31.39,1.58,5.32,73.0,Satisfactory
27.74,,3.53,27.93,19.01,37.81,2.13,2.32,21.96,,2.21,85.0,Satisfactory
44.29,55.51,0.89,2.64,1.09,2.74,0.28,5.86,9.19,0.14,0.03,72.0,Satisfactory
48.78,38.57,3.71,31.49,17.8,84.26,0.69,2.29,,,1.11,70.0,Satisfactory
31.96,59.43,12.81,30.01,,19.88,0.0,2.96,18.72,,,60.0,Satisfactory
38.91,84.93,7.84,25.31,25.24,16.8,0.92,4.07,51.83,0.93,2.9,92.0,Satisfactory
17.14,39.68,2.74,8.21,6.6,2.65,0.84,5.56,32.06,,,53.0,Satisfactory
18.87,60.54,16.04,15.81,22.41,21.52,0.75,7.47,16.19,0.49,2.98,57.0,Satisfactory
13.03,27.27,13.91,15.33,22.26,29.75,0.57,8.6,31.21,3.25,5.53,82.0,Satisfactory
28.29,,8.51,18.2,18.15,29.59,1.08,4.47,25.21,0.86,3.53,73.0,Satisfactory
33.95,110.88,4.52,42.65,0.0,27.58,0.7,3.86,48.16,1.87,1.7,92.0,Satisfactory
30.43,,5.25,11.59,13.04,98.99,0.99,5.88,22.09,0.93,6.75,81.0,Satisfactory
17.57,29.26,90.25,3.63,74.82,2.58,0.94,16.96,1.28,,0.0,94.0,Satisfactory
40.42,114.11,5.59,27.16,0.0,22.04,0.13,3.65,45.77,2.63,2.06,90.0,Satisfactory
41.74,95.25,6.31,18.84,21.36,12.52,0.63,9.5,33.44,0.16,2.7,95.0,Satisfactory
17.46,42.51,7.65,14.55,21.02,24.27,0.72,11.13,27.01,0.76,3.21,81.0,Satisfactory
18.25,60.9,5.89,18.61,21.1,8.4,0.7,4.98,33.59,0.45,1.52,64.0,Satisfactory
26.52,,13.48,17.92,15.81,56.56,0.85,6.2,20.72,2.86,7.75,61.0,Satisfactory
59.33,93.3,3.08,17.94,12.04,18.24,0.75,18.29,40.9,0.43,1.41,87.0,Satisfactory
28.25,70.48,4.83,13.88,10.25,,0.38,16.51,41.74,1.17,9.32,98.0,Satisfactory
46.61,100.63,5.54,11.76,17.13,,0.64,77.57,29.39,2.01,6.01,85.0,Satisfactory
16.39,32.19,2.15,13.19,8.4,30.1,0.51,10.11,34.39,1.61,0.48,92.0,Satisfactory
13.17,16.46,7.31,21.5,28.81,7.93,0.93,17.52,44.96,0.0,,79.0,Satisfactory
49.34,,5.67,9.66,7.93,,0.25,22.92,30.08,0.2,0.51,87.0,Satisfactory
13.44,28.23,0.81,3.25,1.93,1.72,0.75,1.79,36.08,,,62.0,Satisfactory
23.77,26.0,55.71,,0.0,,0.87,1.05,19.71,0.02,0.0,60.0,Satisfactory
49.87,109.16,22.61,33.59,56.18,18.07,0.89,10.19,25.2,6.39,,99.0,Satisfactory
27.77,51.53,2.55,8.99,10.63,11.25,0.7,5.87,35.05,0.13,0.38,61.0,Satisfactory
6.49,15.57,1.49,0.1,0.92,4.82,1.97,2.63,,0.19,0.86,100.0,Satisfactory
14.78,39.26,2.82,8.15,6.69,9.17,0.4,10.43,23.58,0.0,0.01,64.0,Satisfactory
33.66,,5.01,9.45,7.33,,0.4,6.2,13.16,0.26,0.26,79.0,Satisfactory
33.4,84.17,7.43,37.81,41.59,,0.9,2.7,,1.87,2.19,79.0,Satisfactory
31.08,79.87,5.33,24.61,0.0,28.02,0.46,2.65,68.4,2.98,2.25,94.0,Satisfactory
43.9,,9.65,23.69,18.09,30.86,0.8,6.19,25.17,0.0,5.72,88.0,Satisfactory
32.69,82.36,3.97,40.08,24.09,12.16,0.63,7.85,46.0,2.26,15.23,91.0,Satisfactory
37.76,67.42,12.41,14.69,36.13,12.7,0.75,17.21,43.24,1.42,,74.0,Satisfactory
43.99,,12.14,47.89,,,1.23,6.19,14.16,1.5,3.1,75.0,Satisfactory
32.01,57.82,4.81,31.86,0.0,30.32,0.23,3.67,33.71,1.6,1.22,69.0,Satisfactory
34.29,98.12,2.44,29.32,17.16,12.49,0.87,3.4,14.0,4.03,13.12,97.0,Satisfactory
35.14,,23.27,17.62,27.83,,0.46,7.45,5.34,2.31,,59.0,Satisfactory
36.76,64.47,10.5,11.64,20.98,30.77,0.31,1.64,42.89,3.24,1.15,77.0,Satisfactory
38.63,67.05,39.98,19.76,59.74,26.53,1.08,3.54,,1.77,4.24,77.0,Satisfactory
17.52,61.42,17.88,10.69,26.99,12.16,0.76,6.57,22.14,1.34,1.61,61.0,Satisfactory
61.78,90.09,8.02,25.43,20.0,13.8,1.06,8.77,58.14,,,97.0,Satisfactory
32.56,76.26,59.8,29.06,34.96,5.55,0.58,3.15,31.17,1.9,1.81,100.0,Satisfactory
46.01,,9.51,20.42,16.28,67.71,0.79,6.79,18.61,0.0,1.33,70.0,Satisfactory
49.36,82.55,6.34,11.18,10.87,33.79,0.62,5.7,3.93,4.8,0.22,95.0,Satisfactory
31.33,62.83,2.43,29.59,17.68,18.13,0.64,7.06,47.76,1.04,6.2,84.0,Satisfactory
33.67,,17.06,21.37,20.32,109.71,0.87,13.26,9.18,1.0,5.08,68.0,Satisfactory
19.66,36.84,6.47,16.37,20.87,24.04,1.35,2.83,4.09,1.18,2.17,75.0,Satisfactory
16.47,31.29,7.23,23.75,16.75,14.73,0.33,4.36,29.86,1.01,6.05,79.0,Satisfactory
54.23,,8.5,25.9,22.65,,0.68,6.91,21.33,0.93,,83.0,Satisfactory
23.62,68.95,11.17,33.43,26.86,7.32,0.11,6.02,21.47,3.39,7.85,69.0,Satisfactory
89.48,94.11,18.33,59.85,47.12,59.64,1.08,2.75,34.35,0.5,0.55,90.0,Satisfactory
25.94,36.78,8.22,20.83,29.0,36.58,0.84,6.32,29.16,4.82,4.92,66.0,Satisfactory
51.29,90.58,3.4,3.88,4.6,3.05,1.21,5.84,20.02,,,87.0,Satisfactory
33.85,66.55,7.83,38.45,26.5,13.33,0.57,6.42,25.02,2.2,19.46,79.0,Satisfactory
17.03,,9.44,14.07,22.92,103.8,0.98,12.81,16.2,0.08,1.57,68.0,Satisfactory
50.37,66.92,4.49,8.53,13.01,4.36,0.0,12.96,7.14,0.38,,89.0,Satisfactory
46.83,69.68,3.32,27.69,0.0,25.74,0.14,2.48,47.33,2.25,2.44,90.0,Satisfactory
38.65,96.46,1.54,13.63,8.36,36.75,0.49,8.37,16.15,4.98,0.2,94.0,Satisfactory
30.24,47.29,1.66,14.71,9.07,4.22,0.89,5.42,36.32,,,66.0,Satisfactory
45.56,,6.13,10.97,8.58,,0.0,5.09,32.14,0.0,0.0,81.0,Satisfactory
48.25,,27.97,62.11,33.05,,1.35,23.76,38.9,3.15,42.76,98.0,Satisfactory
30.77,89.68,28.77,42.96,46.24,7.16,0.75,6.5,26.63,4.53,10.11,74.0,Satisfactory
24.24,52.42,5.43,7.3,10.89,4.0,0.51,5.7,43.58,,,63.0,Satisfactory
19.2,,1.52,9.45,9.74,,1.52,11.23,4.61,1.29,3.29,70.0,Satisfactory
21.53,80.41,4.21,24.41,0.0,35.77,0.47,4.71,54.16,1.38,1.14,75.0,Satisfactory
11.46,65.13,15.56,50.06,34.51,,0.93,3.95,22.54,0.02,0.0,58.0,Satisfactory
51.81,,9.84,7.71,10.69,,0.0,4.1,38.32,0.03,0.03,91.0,Satisfactory
11.11,,5.23,6.85,11.52,28.31,0.68,4.4,45.0,0.26,0.03,69.0,Satisfactory
24.74,62.08,8.08,27.57,31.18,13.94,1.09,6.97,25.22,0.69,5.39,81.0,Satisfactory
23.64,52.09,22.64,31.32,32.14,11.62,1.1,26.89,13.39,5.46,10.17,79.0,Satisfactory
26.66,59.29,5.34,23.43,25.93,13.36,0.96,5.8,29.97,0.45,1.05,66.0,Satisfactory
18.94,53.7,14.7,26.94,41.59,,1.18,12.06,48.58,0.25,,65.0,Satisfactory
36.18,86.86,13.38,18.96,28.13,11.99,0.69,10.89,18.57,0.59,3.83,90.0,Satisfactory
41.31,,58.08,22.21,49.33,40.34,0.85,3.37,27.55,3.28,10.95,78.0,Satisfactory
35.99,49.54,0.92,2.91,1.24,2.96,0.53,8.38,43.53,89.49,89.66,78.0,Satisfactory
45.32,387.65,12.25,15.1,,28.0,0.0,3.04,14.62,5.53,,98.0,Satisfactory
56.38,105.86,11.99,36.64,27.32,16.47,0.6,5.87,27.5,0.72,4.37,94.0,Satisfactory
46.45,88.34,10.08,29.5,22.57,15.74,0.52,6.66,20.13,0.6,3.57,84.0,Satisfactory
27.84,,6.01,17.97,9.15,13.64,1.21,4.38,25.96,4.18,1.19,56.0,Satisfactory
42.34,,11.67,22.68,21.38,16.65,1.04,5.67,24.11,0.87,2.62,94.0,Satisfactory
38.73,92.66,1.43,14.94,8.94,36.5,0.56,9.09,17.84,4.98,0.14,94.0,Satisfactory
,33.73,,,0.0,,0.3,5.56,44.83,0.0,0.0,54.0,Satisfactory
50.58,137.62,6.03,33.15,22.59,14.25,0.79,7.03,26.69,4.12,5.68,87.0,Satisfactory
26.15,71.05,4.54,21.45,23.54,11.07,0.84,6.75,36.51,0.31,2.81,79.0,Satisfactory
18.48,43.55,1.28,4.73,3.54,7.79,,7.27,24.81,0.02,0.27,54.0,Satisfactory
52.27,,6.82,16.46,21.42,206.54,0.71,3.5,25.77,,,100.0,Satisfactory
52.27,104.18,5.75,10.24,15.99,4.52,0.0,12.41,5.76,0.37,,73.0,Satisfactory
24.04,63.07,1.89,6.59,5.05,,1.01,3.47,27.62,,,93.0,Satisfactory
20.36,41.99,4.47,15.53,11.98,13.73,0.52,6.62,53.13,0.32,0.27,76.0,Satisfactory
25.6,42.83,5.58,21.02,13.6,9.46,0.53,3.09,16.82,0.55,3.75,56.0,Satisfactory
21.27,57.52,8.25,18.26,6.57,13.73,0.11,7.85,41.95,0.04,0.66,95.0,Satisfactory
16.51,77.75,7.41,30.97,0.0,23.52,0.54,4.72,19.08,0.46,0.39,51.0,Satisfactory
27.87,64.99,6.26,18.52,13.41,14.86,0.66,8.47,25.48,1.64,10.42,64.0,Satisfactory
28.46,55.7,4.48,14.85,16.36,9.1,0.66,6.24,27.7,0.4,1.83,74.0,Satisfactory
39.06,63.53,2.22,13.1,8.77,14.38,0.55,13.87,41.66,0.44,12.72,64.0,Satisfactory
39.06,,21.85,19.36,27.61,,0.38,8.03,7.86,2.35,,62.0,Satisfactory
16.88,31.62,10.56,16.98,17.62,8.71,1.12,8.27,27.85,,,72.0,Satisfactory
29.48,,13.17,44.17,32.41,28.95,0.9,7.42,14.01,0.23,0.31,80.0,Satisfactory
45.41,76.67,2.6,14.75,10.05,10.82,0.64,13.6,50.03,0.26,4.34,73.0,Satisfactory
47.61,60.24,7.68,9.09,16.77,17.37,1.08,11.53,22.5,0.0,0.0,75.0,Satisfactory
20.69,40.92,10.12,0.06,9.19,18.23,1.12,2.72,,0.38,0.56,64.0,Satisfactory
47.96,88.1,15.4,13.39,28.79,2.18,0.0,,8.42,5.3,0.0,84.0,Satisfactory
41.09,60.31,9.01,7.74,9.4,,0.58,10.15,18.77,2.0,5.96,68.0,Satisfactory
14.94,34.2,17.92,21.94,39.84,17.44,0.75,10.98,10.91,1.65,,73.0,Satisfactory
20.9,94.58,25.84,7.01,32.85,7.61,1.08,22.56,4.39,0.0,,76.0,Satisfactory
30.49,44.9,7.95,11.49,18.64,62.05,0.87,8.4,28.4,6.26,0.11,64.0,Satisfactory
,46.22,8.67,7.53,,6.89,0.27,29.93,2.14,,,90.0,Satisfactory
31.95,72.51,9.64,24.79,25.28,20.42,0.63,5.62,20.13,0.15,1.27,87.0,Satisfactory
13.49,37.83,2.45,7.57,6.12,7.17,0.5,19.01,27.18,0.29,0.78,70.0,Satisfactory
42.22,78.34,21.56,15.84,32.32,12.57,0.61,9.03,43.77,1.3,1.1,95.0,Satisfactory
31.59,58.52,5.62,20.55,25.12,10.93,0.47,4.35,41.54,17.96,8.26,73.0,Satisfactory
28.33,76.66,6.15,14.72,18.14,21.82,0.59,9.96,39.12,0.23,0.59,89.0,Satisfactory
14.8,71.97,21.85,9.55,31.4,,1.79,19.68,17.61,0.16,,91.0,Satisfactory
39.4,66.81,12.1,30.1,,12.31,0.0,2.04,33.88,,,76.0,Satisfactory
50.11,,7.38,28.31,11.82,,0.29,24.67,57.25,1.83,37.85,90.0,Satisfactory
28.84,69.71,9.57,50.19,25.24,,1.09,2.8,35.27,,,84.0,Satisfactory
40.84,105.87,4.43,30.23,19.1,12.65,0.41,5.24,29.0,1.15,8.04,97.0,Satisfactory
18.76,63.23,3.03,13.6,3.08,43.3,0.53,5.88,37.25,6.72,,88.0,Satisfactory
30.8,56.0,8.74,27.43,20.49,13.76,0.61,3.83,22.23,0.38,1.55,64.0,Satisfactory
12.65,26.92,,44.64,39.24,,0.99,5.4,17.53,0.0,0.0,51.0,Satisfactory
34.54,,7.23,15.18,22.37,35.18,0.98,5.32,26.49,0.0,1.54,94.0,Satisfactory
17.5,38.8,3.27,8.17,11.5,9.76,0.36,5.79,34.45,1.51,8.98,55.0,Satisfactory
43.04,99.05,39.84,12.64,,11.55,0.0,3.76,6.62,,,91.0,Satisfactory
26.95,54.84,7.45,15.07,12.49,7.42,1.05,6.92,37.24,,,68.0,Satisfactory
52.55,,8.13,19.08,27.19,4.94,0.79,4.18,31.2,0.1,1.17,73.0,Satisfactory
36.47,,0.98,37.13,22.38,,0.98,19.01,,0.0,0.0,72.0,Satisfactory
27.99,50.9,9.21,11.31,27.23,6.96,0.57,10.49,18.3,0.11,,74.0,Satisfactory
52.6,85.3,10.05,14.9,24.95,9.26,0.76,,20.49,5.26,2.16,89.0,Satisfactory
28.26,,9.83,27.73,22.52,29.67,1.08,6.31,12.88,0.25,0.35,78.0,Satisfactory
30.67,60.2,5.67,16.04,14.77,9.49,0.93,8.27,45.65,,,62.0,Satisfactory
23.01,33.85,5.6,27.98,22.16,,1.02,4.27,26.48,0.3,1.22,74.0,Satisfactory
19.86,62.12,8.01,14.47,6.99,5.61,0.18,5.04,41.28,0.26,2.56,79.0,Satisfactory
20.2,68.79,7.27,19.5,14.29,20.52,0.32,9.69,16.57,0.69,4.84,54.0,Satisfactory
26.16,,3.72,15.89,10.97,37.51,1.76,2.12,10.98,,1.2,72.0,Satisfactory
16.44,68.09,47.67,1.57,44.88,8.81,1.21,33.57,2.59,0.0,,65.0,Satisfactory
38.13,69.42,3.8,18.95,12.23,10.45,0.51,9.04,31.37,1.54,7.82,73.0,Satisfactory
28.69,66.84,7.43,46.76,30.91,11.62,0.41,11.71,32.48,4.06,16.57,81.0,Satisfactory
40.44,53.49,0.36,27.68,28.04,,0.72,14.2,60.89,0.0,0.0,100.0,Satisfactory
19.53,60.44,4.38,14.59,16.17,8.87,0.74,5.8,26.55,0.18,1.81,70.0,Satisfactory
26.07,52.84,2.67,14.21,9.72,3.99,0.95,7.09,42.16,,,66.0,Satisfactory
37.6,,5.81,16.97,10.41,,0.05,4.87,10.34,0.0,0.0,74.0,Satisfactory
42.69,59.29,3.02,17.81,13.74,14.41,1.22,5.41,21.98,1.35,6.71,85.0,Satisfactory
25.48,40.5,1.93,10.28,7.04,4.86,1.18,3.45,7.77,,,69.0,Satisfactory
,,,,,,,,,,,86.0,Satisfactory
18.44,,23.53,22.6,46.03,,1.3,22.0,34.0,0.29,,73.0,Satisfactory
23.16,53.37,5.1,15.72,17.14,8.2,0.7,6.48,25.16,0.6,2.18,66.0,Satisfactory
28.96,,7.27,17.83,14.94,5.31,0.97,6.26,36.69,3.06,8.73,78.0,Satisfactory
30.29,,8.13,17.13,9.37,,1.33,40.41,41.17,1.25,7.66,92.0,Satisfactory
40.54,,4.86,10.08,10.75,,0.01,7.89,20.81,0.0,0.0,76.0,Satisfactory
12.09,33.0,20.6,16.97,37.44,15.24,0.47,8.75,11.09,2.07,,57.0,Satisfactory
46.23,73.8,5.1,36.36,41.46,7.05,1.41,4.68,20.71,2.54,8.9,83.0,Satisfactory
56.15,95.3,1.62,13.27,8.35,6.97,1.05,7.85,50.74,,,94.0,Satisfactory
22.54,49.89,2.51,10.37,11.6,10.18,0.76,5.81,41.52,0.12,0.46,64.0,Satisfactory
17.27,19.03,9.82,14.64,24.46,6.46,1.75,10.14,18.75,0.0,0.0,88.0,Satisfactory
15.09,80.12,24.8,20.87,31.27,3.86,0.61,13.48,18.88,2.72,9.12,77.0,Satisfactory
21.6,,2.5,8.15,4.44,,2.42,12.16,24.9,0.12,0.24,80.0,Satisfactory
30.83,111.52,14.72,8.14,19.02,38.58,0.75,12.05,18.98,5.03,1.92,100.0,Satisfactory
20.7,81.14,26.5,21.97,48.48,,1.34,22.61,45.24,0.35,,90.0,Satisfactory
47.31,92.86,9.72,34.53,30.98,15.25,0.9,4.75,52.51,0.46,1.1,96.0,Satisfactory
17.82,39.35,8.27,14.82,14.57,9.93,1.16,8.48,40.55,,,76.0,Satisfactory
14.78,54.18,19.74,15.44,29.59,12.11,0.69,11.17,43.02,1.3,1.1,60.0,Satisfactory
37.73,95.18,3.61,31.16,19.29,14.01,0.54,4.56,25.92,0.97,6.08,97.0,Satisfactory
17.95,39.52,13.98,24.12,30.52,15.83,1.03,5.89,11.65,0.3,1.81,73.0,Satisfactory
53.37,,10.83,19.51,15.98,157.52,0.67,11.79,20.15,0.03,0.02,83.0,Satisfactory
21.79,,3.44,7.04,4.97,,0.46,2.25,,,,54.0,Satisfactory
54.65,134.46,9.58,44.47,0.0,17.46,0.57,5.58,,,,93.0,Satisfactory
40.4,,3.16,10.07,9.09,,0.04,7.09,34.38,0.03,0.0,76.0,Satisfactory
35.58,83.38,15.88,15.89,31.36,12.46,0.61,,24.17,3.7,2.13,89.0,Satisfactory
9.96,23.91,10.93,,9.83,39.63,1.72,2.7,,0.12,0.26,92.0,Satisfactory
,93.92,10.44,39.02,28.17,87.2,0.79,3.72,,,1.25,75.0,Satisfactory
27.99,52.39,17.56,23.43,26.66,8.48,1.47,8.54,26.59,,,96.0,Satisfactory
16.87,50.6,2.22,7.8,5.94,14.92,0.38,12.46,31.82,0.18,0.06,59.0,Satisfactory
58.68,,12.39,41.55,35.76,30.18,0.35,10.04,39.31,0.0,0.0,97.0,Satisfactory
37.8,80.37,8.25,33.16,23.67,14.39,0.49,5.89,22.58,2.42,20.15,94.0,Satisfactory
22.15,83.69,17.9,12.55,27.8,12.16,0.83,21.92,29.65,1.44,1.86,76.0,Satisfactory
16.12,,2.55,30.39,,,0.94,6.6,18.17,0.0,0.0,72.0,Satisfactory
19.4,38.72,6.75,4.85,5.71,24.06,1.24,8.77,4.05,0.11,,91.0,Satisfactory
21.45,32.41,0.78,2.53,1.1,2.63,0.18,7.93,66.61,0.12,0.01,80.0,Satisfactory
7.99,19.94,0.64,3.36,1.94,1.84,0.7,0.89,37.35,,,57.0,Satisfactory
22.19,63.59,2.62,25.07,15.42,5.06,0.5,18.35,62.52,0.13,1.19,78.0,Satisfactory
9.55,24.85,4.57,24.09,28.66,14.66,1.51,1.89,22.32,4.88,8.36,83.0,Satisfactory
42.44,94.49,3.45,25.56,16.14,21.76,0.51,4.91,33.3,1.81,8.26,91.0,Satisfactory
23.63,37.21,11.55,31.38,42.93,2.47,0.75,1.61,7.44,2.12,10.05,57.0,Satisfactory
38.04,,7.99,15.39,26.66,1.76,0.85,6.68,41.51,0.0,0.0,73.0,Satisfactory
39.21,,7.69,16.37,,,1.34,3.91,29.09,1.73,3.34,79.0,Satisfactory
29.88,66.95,13.38,20.67,30.28,11.54,0.6,8.77,19.43,0.88,11.69,87.0,Satisfactory
58.39,105.21,9.14,9.82,,6.3,0.0,8.47,19.25,,,96.0,Satisfactory
27.56,25.38,9.39,19.09,28.46,36.86,0.97,7.59,25.69,0.03,0.21,70.0,Satisfactory
54.17,105.96,4.24,36.1,40.34,22.53,0.56,5.71,28.42,4.76,8.34,96.0,Satisfactory
28.6,62.79,7.72,34.55,35.31,38.47,0.79,12.91,54.62,1.41,22.56,83.0,Satisfactory
19.07,29.74,1.94,11.58,7.73,4.0,1.11,4.55,7.74,,,70.0,Satisfactory
21.88,75.6,4.48,25.54,16.46,13.51,0.28,6.2,16.38,0.71,6.64,72.0,Satisfactory
31.6,,12.48,17.18,29.65,61.61,0.94,6.33,18.73,0.08,0.69,67.0,Satisfactory
25.5,22.18,8.03,16.5,15.62,,0.94,6.31,16.54,0.13,1.09,61.0,Satisfactory
